item,id
Egg McMuffin,0
Egg White Delight,1
Sausage McMuffin,2
Sausage McMuffin with Egg,3
Sausage McMuffin with Egg Whites,4
Steak & Egg McMuffin,5
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",6
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",7
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",8
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",9
Sausage Biscuit (Regular Biscuit),10
Sausage Biscuit (Large Biscuit),11
Sausage Biscuit with Egg (Regular Biscuit),12
Sausage Biscuit with Egg (Large Biscuit),13
Sausage Biscuit with Egg Whites (Regular Biscuit),14
Sausage Biscuit with Egg Whites (Large Biscuit),15
Southern Style Chicken Biscuit (Regular Biscuit),16
Southern Style Chicken Biscuit (Large Biscuit),17
Steak & Egg Biscuit (Regular Biscuit),18
"Bacon, Egg & Cheese McGriddles",19
"Bacon, Egg & Cheese McGriddles with Egg Whites",20
Sausage McGriddles,21
"Sausage, Egg & Cheese McGriddles",22
"Sausage, Egg & Cheese McGriddles with Egg Whites",23
"Bacon, Egg & Cheese Bagel",24
"Bacon, Egg & Cheese Bagel with Egg Whites",25
"Steak, Egg & Cheese Bagel",26
Big Breakfast (Regular Biscuit),27
Big Breakfast (Large Biscuit),28
Big Breakfast with Egg Whites (Regular Biscuit),29
Big Breakfast with Egg Whites (Large Biscuit),30
Big Breakfast with Hotcakes (Regular Biscuit),31
Big Breakfast with Hotcakes (Large Biscuit),32
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),33
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),34
Hotcakes,35
Hotcakes and Sausage,36
Sausage Burrito,37
Hash Brown,38
Cinnamon Melts,39
Fruit & Maple Oatmeal,40
Fruit & Maple Oatmeal without Brown Sugar,41
Big Mac,42
Quarter Pounder with Cheese,43
Quarter Pounder with Bacon & Cheese,44
Quarter Pounder with Bacon Habanero Ranch,45
Quarter Pounder Deluxe,46
Double Quarter Pounder with Cheese,47
Hamburger,48
Cheeseburger,49
Double Cheeseburger,50
Bacon Clubhouse Burger,51
McDouble,52
Bacon McDouble,53
Daily Double,54
Jalapeño Double,55
McRib,56
Premium Crispy Chicken Classic Sandwich,57
Premium Grilled Chicken Classic Sandwich,58
Premium Crispy Chicken Club Sandwich,59
Premium Grilled Chicken Club Sandwich,60
Premium Crispy Chicken Ranch BLT Sandwich,61
Premium Grilled Chicken Ranch BLT Sandwich,62
Bacon Clubhouse Crispy Chicken Sandwich,63
Bacon Clubhouse Grilled Chicken Sandwich,64
Southern Style Crispy Chicken Sandwich,65
McChicken,66
Bacon Cheddar McChicken,67
Bacon Buffalo Ranch McChicken,68
Buffalo Ranch McChicken,69
Premium McWrap Chicken & Bacon (Crispy Chicken),70
Premium McWrap Chicken & Bacon (Grilled Chicken),71
Premium McWrap Chicken & Ranch (Crispy Chicken),72
Premium McWrap Chicken & Ranch (Grilled Chicken),73
Premium McWrap Southwest Chicken (Crispy Chicken),74
Premium McWrap Southwest Chicken (Grilled Chicken),75
Premium McWrap Chicken Sweet Chili (Crispy Chicken),76
Premium McWrap Chicken Sweet Chili (Grilled Chicken),77
Chicken McNuggets (4 piece),78
Chicken McNuggets (6 piece),79
Chicken McNuggets (10 piece),80
Chicken McNuggets (20 piece),81
Chicken McNuggets (40 piece),82
Filet-O-Fish,83
Premium Bacon Ranch Salad (without Chicken),84
Premium Bacon Ranch Salad with Crispy Chicken,85
Premium Bacon Ranch Salad with Grilled Chicken,86
Premium Southwest Salad (without Chicken),87
Premium Southwest Salad with Crispy Chicken,88
Premium Southwest Salad with Grilled Chicken,89
Chipotle BBQ Snack Wrap (Crispy Chicken),90
Chipotle BBQ Snack Wrap (Grilled Chicken),91
Honey Mustard Snack Wrap (Crispy Chicken),92
Honey Mustard Snack Wrap (Grilled Chicken),93
Ranch Snack Wrap (Crispy Chicken),94
Ranch Snack Wrap (Grilled Chicken),95
Small French Fries,96
Medium French Fries,97
Large French Fries,98
Kids French Fries,99
Side Salad,100
Apple Slices,101
Fruit 'n Yogurt Parfait,102
Baked Apple Pie,103
Chocolate Chip Cookie,104
Oatmeal Raisin Cookie,105
Kids Ice Cream Cone,106
Hot Fudge Sundae,107
Hot Caramel Sundae,108
Strawberry Sundae,109
Coca-Cola Classic (Small),110
Coca-Cola Classic (Medium),111
Coca-Cola Classic (Large),112
Coca-Cola Classic (Child),113
Diet Coke (Small),114
Diet Coke (Medium),115
Diet Coke (Large),116
Diet Coke (Child),117
Dr Pepper (Small),118
Dr Pepper (Medium),119
Dr Pepper (Large),120
Dr Pepper (Child),121
Diet Dr Pepper (Small),122
Diet Dr Pepper (Medium),123
Diet Dr Pepper (Large),124
Diet Dr Pepper (Child),125
Sprite (Small),126
Sprite (Medium),127
Sprite (Large),128
Sprite (Child),129
1% Low Fat Milk Jug,130
Fat Free Chocolate Milk Jug,131
Minute Maid 100% Apple Juice Box,132
Minute Maid Orange Juice (Small),133
Minute Maid Orange Juice (Medium),134
Minute Maid Orange Juice (Large),135
Dasani Water Bottle,136
Iced Tea (Small),137
Iced Tea (Medium),138
Iced Tea (Large),139
Iced Tea (Child),140
Sweet Tea (Small),141
Sweet Tea (Medium),142
Sweet Tea (Large),143
Sweet Tea (Child),144
Coffee (Small),145
Coffee (Medium),146
Coffee (Large),147
Latte (Small),148
Latte (Medium),149
Latte (Large),150
Caramel Latte (Small),151
Caramel Latte (Medium),152
Caramel Latte (Large),153
Hazelnut Latte (Small),154
Hazelnut Latte (Medium),155
Hazelnut Latte (Large),156
French Vanilla Latte (Small),157
French Vanilla Latte (Medium),158
French Vanilla Latte (Large),159
Latte with Sugar Free French Vanilla Syrup (Small),160
Latte with Sugar Free French Vanilla Syrup (Medium),161
Latte with Sugar Free French Vanilla Syrup (Large),162
Nonfat Latte (Small),163
Nonfat Latte (Medium),164
Nonfat Latte (Large),165
Nonfat Caramel Latte (Small),166
Nonfat Caramel Latte (Medium),167
Nonfat Caramel Latte (Large),168
Nonfat Hazelnut Latte (Small),169
Nonfat Hazelnut Latte (Medium),170
Nonfat Hazelnut Latte (Large),171
Nonfat French Vanilla Latte (Small),172
Nonfat French Vanilla Latte (Medium),173
Nonfat French Vanilla Latte (Large),174
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),175
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),176
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),177
Mocha (Small),178
Mocha (Medium),179
Mocha (Large),180
Mocha with Nonfat Milk (Small),181
Mocha with Nonfat Milk (Medium),182
Mocha with Nonfat Milk (Large),183
Caramel Mocha (Small),184
Caramel Mocha (Medium),185
Caramel Mocha (Large),186
Nonfat Caramel Mocha (Small),187
Nonfat Caramel Mocha (Medium),188
Nonfat Caramel Mocha (Large),189
Hot Chocolate (Small),190
Hot Chocolate (Medium),191
Hot Chocolate (Large),192
Hot Chocolate with Nonfat Milk (Small),193
Hot Chocolate with Nonfat Milk (Medium),194
Hot Chocolate with Nonfat Milk (Large),195
Regular Iced Coffee (Small),196
Regular Iced Coffee (Medium),197
